date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
03-04-1998,0.4011,0.4016,0.3844,0.000368131,0.003248794,0.00022708,0.000136441,0.000158482,0.00645,0.002316667,0.738773223,0.333513333,0.000305451,0.000159352
06-04-1998,0.3928,0.3949,0.3677,0.000292851,0.002998995,0.000237812,0.000143797,0.000165797,0.006223333,0.002923333,0.664463449,0.336813333,0.0003151,0.000166395
07-04-1998,0.3625,0.3636,0.3531,0.000234529,0.003249243,0.000247861,0.000151102,0.000172741,0.006223333,0.003393333,0.619817853,0.339643333,0.00032017,0.000172672
08-04-1998,0.3599,0.374,0.3563,0.000292851,0.00310759,0.000259417,0.000159471,0.000180069,0.006553333,0.003393333,0.635535353,0.342803333,0.00032887,0.000179582
09-04-1998,0.3849,0.4001,0.3818,0.000407013,0.004872377,0.000273306,0.00016891,0.000188071,0.00652,0.003393333,0.633995238,0.34593,0.000344751,0.000187788
13-04-1998,0.3954,0.4011,0.3834,0.000390881,0.002982358,0.000286029,0.00017746,0.000195977,0.00593,0.003523333,0.593169457,0.348336667,0.000358514,0.00019572
14-04-1998,0.3911,0.4161,0.3885,0.000440103,0.004978993,0.000299979,0.000186079,0.000204178,0.006326667,0.00342,0.622463338,0.351243333,0.000374728,0.000204161
15-04-1998,0.4084,0.4167,0.3938,0.000421903,0.003027602,0.000312308,0.000194397,0.000212295,0.006326667,0.002943333,0.66727582,0.354626667,0.000388661,0.0002123
16-04-1998,0.4005,0.4138,0.3891,0.000462853,0.004950135,0.000325705,0.000202956,0.000220594,0.006423333,0.002943333,0.671675251,0.358106667,0.000404472,0.000220848
17-04-1998,0.3992,0.4052,0.3938,0.000400395,0.001507073,0.000338174,0.000210645,0.000228549,0.006206667,0.003446667,0.614199656,0.360866667,0.000415027,0.000228564
20-04-1998,0.3974,0.4146,0.3906,0.00038964,0.002233912,0.000350958,0.000218431,0.00023635,0.005963333,0.003533333,0.594039012,0.363296667,0.000424172,0.000236075
21-04-1998,0.3969,0.3975,0.3797,0.000369372,0.002000556,0.000363453,0.000226592,0.000243625,0.005026667,0.003696667,0.524617034,0.364626667,0.000431352,0.000243269
