date,open,high,low,close,volume
26-08-1997,0.112,0.1177,0.1115,0.1172,217500
27-08-1997,0.1154,0.1162,0.1125,0.1159,116000
28-08-1997,0.1151,0.1197,0.114,0.1187,95560
29-08-1997,0.1182,0.1187,0.1161,0.1169,60174
02-09-1997,0.1172,0.1188,0.1167,0.1177,61000
03-09-1997,0.1173,0.1209,0.1156,0.1167,163770
04-09-1997,0.1183,0.1276,0.1172,0.1276,279000
05-09-1997,0.1292,0.1334,0.1229,0.125,159000
08-09-1997,0.1266,0.1511,0.125,0.15,470700
09-09-1997,0.1571,0.1693,0.1513,0.162,747601
10-09-1997,0.1656,0.1664,0.1563,0.1651,322200
11-09-1997,0.1667,0.1667,0.1521,0.1578,355200
12-09-1997,0.1594,0.185,0.1578,0.1844,277876
15-09-1997,0.1834,0.1839,0.1526,0.1547,465300
16-09-1997,0.1563,0.1771,0.156,0.1677,536000
17-09-1997,0.1729,0.175,0.1667,0.1703,217300
18-09-1997,0.1719,0.1735,0.1641,0.1646,177400
19-09-1997,0.169,0.2042,0.1688,0.1974,744101
22-09-1997,0.2,0.2339,0.1974,0.225,1411801
23-09-1997,0.2245,0.2322,0.2198,0.2312,640162
24-09-1997,0.2322,0.2405,0.2146,0.2187,683244
25-09-1997,0.2172,0.2177,0.2026,0.2039,414000
26-09-1997,0.2036,0.2129,0.2026,0.2083,227546
29-09-1997,0.2073,0.2094,0.1979,0.2021,197600
30-09-1997,0.2,0.2174,0.1901,0.2169,437800
01-10-1997,0.2218,0.2249,0.1968,0.201,416497
02-10-1997,0.2021,0.2089,0.1995,0.2005,156400
03-10-1997,0.2042,0.2063,0.199,0.2008,97000
06-10-1997,0.2,0.2062,0.1971,0.2062,168959
07-10-1997,0.2042,0.2094,0.2021,0.2029,145236
08-10-1997,0.2074,0.2084,0.1992,0.2003,233959
09-10-1997,0.2,0.2011,0.187,0.1875,329200
10-10-1997,0.1865,0.2032,0.1834,0.1951,315681
13-10-1997,0.1964,0.2021,0.1964,0.2,67900
14-10-1997,0.2032,0.2053,0.1917,0.199,128933
15-10-1997,0.1985,0.1985,0.1886,0.1961,196300
16-10-1997,0.1989,0.1989,0.1802,0.1812,290020
17-10-1997,0.1807,0.1827,0.176,0.1812,211142
20-10-1997,0.1838,0.1937,0.1833,0.1911,409293
21-10-1997,0.1979,0.2219,0.1927,0.2214,1008229
22-10-1997,0.2208,0.2309,0.2187,0.226,433904
23-10-1997,0.2115,0.2281,0.2094,0.225,471400
24-10-1997,0.2375,0.2531,0.2271,0.2513,791001
27-10-1997,0.24,0.2504,0.2114,0.2135,507482
28-10-1997,0.1959,0.25,0.1938,0.2474,976601
29-10-1997,0.2573,0.2749,0.25,0.2695,593790
30-10-1997,0.2603,0.2676,0.2521,0.2562,397423
31-10-1997,0.2683,0.273,0.2485,0.2542,418983
03-11-1997,0.2609,0.2609,0.2474,0.2536,166567
04-11-1997,0.25,0.2526,0.2412,0.2479,197100
05-11-1997,0.2489,0.2559,0.2437,0.2437,257747
06-11-1997,0.2459,0.2459,0.2318,0.2331,242852
07-11-1997,0.2209,0.2321,0.2193,0.224,218949
10-11-1997,0.225,0.2281,0.2104,0.2104,230400
11-11-1997,0.2123,0.2156,0.1959,0.1974,359400
12-11-1997,0.1887,0.2093,0.1833,0.1885,723409
13-11-1997,0.1975,0.1985,0.1886,0.193,357593
14-11-1997,0.1968,0.2103,0.189,0.2083,488983
17-11-1997,0.2114,0.227,0.2109,0.2187,616060
18-11-1997,0.2187,0.2239,0.2172,0.2208,155465
19-11-1997,0.2203,0.2261,0.2156,0.2255,211200
20-11-1997,0.2287,0.2303,0.2255,0.2292,493708
21-11-1997,0.2276,0.2292,0.2245,0.2245,216900
24-11-1997,0.2188,0.2209,0.2115,0.2115,168340
25-11-1997,0.2121,0.2167,0.2021,0.2102,275466
26-11-1997,0.212,0.2206,0.212,0.213,135900
28-11-1997,0.2135,0.2166,0.2057,0.2062,133568
01-12-1997,0.212,0.2187,0.2067,0.2135,198554
02-12-1997,0.213,0.2151,0.2089,0.2117,105200
03-12-1997,0.2099,0.2187,0.2093,0.2182,107475
04-12-1997,0.2201,0.2276,0.2193,0.225,253200
05-12-1997,0.2219,0.2297,0.2177,0.2297,221800
08-12-1997,0.2271,0.2386,0.2261,0.2354,397200
09-12-1997,0.2334,0.2386,0.2302,0.2344,111024
10-12-1997,0.2297,0.2313,0.2198,0.2255,120400
11-12-1997,0.2198,0.2417,0.2198,0.2344,417990
12-12-1997,0.2323,0.2401,0.2203,0.2271,222700
15-12-1997,0.2292,0.2334,0.2203,0.2292,141231
16-12-1997,0.2323,0.2323,0.2229,0.2229,140600
17-12-1997,0.2187,0.2228,0.2127,0.2195,511584
18-12-1997,0.2177,0.2214,0.2115,0.2146,267000
19-12-1997,0.2115,0.2261,0.2084,0.225,396100
22-12-1997,0.225,0.2391,0.2216,0.2349,362700
23-12-1997,0.2343,0.2369,0.2312,0.2312,98079
24-12-1997,0.2313,0.2354,0.2235,0.2302,194700
26-12-1997,0.228,0.2322,0.2245,0.226,40591
29-12-1997,0.2292,0.2391,0.2266,0.2375,212700
30-12-1997,0.2416,0.2452,0.239,0.2424,523693
31-12-1997,0.2437,0.252,0.2422,0.251,370427
02-01-1998,0.25,0.25,0.2399,0.2479,138400
05-01-1998,0.2443,0.2469,0.2354,0.2375,299200
06-01-1998,0.2349,0.2437,0.2333,0.2419,347828
07-01-1998,0.2417,0.2417,0.2347,0.2391,227148
08-01-1998,0.2348,0.2351,0.2265,0.2307,502192
09-01-1998,0.2334,0.2334,0.2115,0.213,553601
12-01-1998,0.2084,0.2193,0.2073,0.2151,616801
13-01-1998,0.2172,0.2334,0.2162,0.2323,610101
14-01-1998,0.2328,0.2437,0.2312,0.2437,708655
15-01-1998,0.2396,0.2506,0.2396,0.2477,501302
16-01-1998,0.2479,0.249,0.2386,0.2396,213600
20-01-1998,0.2412,0.2506,0.2406,0.2477,455692
21-01-1998,0.2468,0.2583,0.2437,0.2536,728057
22-01-1998,0.2537,0.2636,0.2511,0.2568,789455
23-01-1998,0.2673,0.2673,0.2469,0.2469,760055
26-01-1998,0.249,0.2495,0.237,0.2406,392700
27-01-1998,0.2409,0.2433,0.2334,0.2375,342000
28-01-1998,0.2375,0.2416,0.2312,0.2385,441008
29-01-1998,0.2396,0.2495,0.2391,0.2479,403000
30-01-1998,0.2499,0.253,0.2442,0.2458,310137
02-02-1998,0.2474,0.2604,0.2469,0.2599,576101
03-02-1998,0.2594,0.2626,0.2547,0.2576,369172
04-02-1998,0.2531,0.2594,0.2526,0.2531,102900
05-02-1998,0.2558,0.2558,0.2438,0.2469,486099
06-02-1998,0.2464,0.2511,0.2438,0.2453,176900
09-02-1998,0.2459,0.2479,0.2386,0.2427,218900
10-02-1998,0.2438,0.2659,0.2417,0.2651,1024701
11-02-1998,0.2646,0.2732,0.2641,0.2646,539501
12-02-1998,0.2636,0.2651,0.2594,0.263,253000
13-02-1998,0.2626,0.2636,0.2573,0.2594,701836
17-02-1998,0.261,0.261,0.2537,0.2573,198000
18-02-1998,0.2572,0.2572,0.2526,0.2536,247551
19-02-1998,0.2555,0.2647,0.2542,0.2615,369771
20-02-1998,0.2614,0.2645,0.2557,0.2635,225257
23-02-1998,0.2646,0.2709,0.2604,0.2703,331500
24-02-1998,0.2709,0.2839,0.2677,0.2703,22300
25-02-1998,0.2735,0.2771,0.263,0.2745,562101
26-02-1998,0.2732,0.3042,0.2719,0.3031,1281101
27-02-1998,0.301,0.3317,0.2992,0.3208,2058581
02-03-1998,0.3162,0.3281,0.3125,0.3177,913101
03-03-1998,0.3147,0.3157,0.2979,0.299,668112
04-03-1998,0.3,0.3094,0.2917,0.306,609501
05-03-1998,0.299,0.3258,0.2969,0.3125,1000101
06-03-1998,0.3151,0.3209,0.3073,0.3198,490601
09-03-1998,0.3203,0.3573,0.3198,0.3479,1921302
10-03-1998,0.3563,0.3677,0.3386,0.3463,2062502
11-03-1998,0.3417,0.3438,0.3261,0.3318,1029256
12-03-1998,0.3281,0.338,0.3214,0.3271,816601
13-03-1998,0.3318,0.3371,0.324,0.3279,543683
16-03-1998,0.3316,0.3365,0.3292,0.3292,276042
17-03-1998,0.3323,0.3344,0.3245,0.3328,258400
18-03-1998,0.3302,0.3574,0.3302,0.3555,1138461
19-03-1998,0.3558,0.3646,0.349,0.35,1009601
20-03-1998,0.35,0.3537,0.3464,0.35,534401
23-03-1998,0.3482,0.3531,0.3448,0.3492,250400
24-03-1998,0.3437,0.3614,0.3437,0.351,473333
25-03-1998,0.3542,0.3574,0.3375,0.3404,940939
26-03-1998,0.3406,0.349,0.3313,0.3448,656501
27-03-1998,0.3511,0.3631,0.3448,0.3542,637291
30-03-1998,0.3578,0.3646,0.3547,0.3578,458400
31-03-1998,0.3558,0.3604,0.349,0.3564,547101
01-04-1998,0.3552,0.3766,0.3502,0.3755,1204301
02-04-1998,0.3797,0.4031,0.374,0.3961,1386901
03-04-1998,0.4011,0.4016,0.3844,0.3875,974501
06-04-1998,0.3928,0.3949,0.3677,0.3693,918825
07-04-1998,0.3625,0.3636,0.3531,0.3552,974601
08-04-1998,0.3599,0.374,0.3563,0.3693,943029
09-04-1998,0.3849,0.4001,0.3818,0.3969,1336370
13-04-1998,0.3954,0.4011,0.3834,0.393,915117
14-04-1998,0.3911,0.4161,0.3885,0.4049,1360133
15-04-1998,0.4084,0.4167,0.3938,0.4005,925201
16-04-1998,0.4005,0.4138,0.3891,0.4104,1353701
17-04-1998,0.3992,0.4052,0.3938,0.3953,586301
20-04-1998,0.3974,0.4146,0.3906,0.3927,748301
21-04-1998,0.3969,0.3975,0.3797,0.3878,696290
22-04-1998,0.3885,0.39,0.3625,0.3635,941671
23-04-1998,0.3625,0.3625,0.3354,0.3375,1024101
24-04-1998,0.3416,0.3655,0.3396,0.3536,1398604
27-04-1998,0.3474,0.3526,0.3214,0.3448,1573802
28-04-1998,0.387,0.4145,0.3711,0.3984,5798778
29-04-1998,0.4052,0.411,0.3901,0.3979,2390602
30-04-1998,0.4063,0.4084,0.3771,0.3823,1873802
01-05-1998,0.3864,0.3963,0.3771,0.3937,775502
04-05-1998,0.3959,0.3996,0.3891,0.3969,644682
05-05-1998,0.3917,0.3979,0.388,0.3905,499901
06-05-1998,0.3917,0.3917,0.3755,0.3766,619983
07-05-1998,0.3792,0.3876,0.3677,0.3792,1157454
08-05-1998,0.3802,0.3865,0.3729,0.3849,399400
11-05-1998,0.3873,0.3875,0.3604,0.362,947701
12-05-1998,0.3656,0.383,0.3609,0.3807,969574
13-05-1998,0.3771,0.3917,0.374,0.387,1162001
14-05-1998,0.3834,0.3943,0.3792,0.3815,716701
15-05-1998,0.3827,0.3853,0.3729,0.3734,385649
18-05-1998,0.3749,0.3775,0.3614,0.3669,551425
19-05-1998,0.3735,0.3777,0.3719,0.3766,285338
20-05-1998,0.3766,0.3813,0.3677,0.3693,337446
21-05-1998,0.3729,0.375,0.3638,0.3698,283600
22-05-1998,0.3682,0.3692,0.3562,0.3583,488432
26-05-1998,0.3585,0.3619,0.337,0.3411,906868
27-05-1998,0.3349,0.364,0.3323,0.3609,1935934
28-05-1998,0.3636,0.3657,0.3552,0.3581,784510
29-05-1998,0.3578,0.3709,0.3563,0.3672,720101
01-06-1998,0.3667,0.3688,0.3472,0.3568,670395
02-06-1998,0.3636,0.3709,0.3459,0.3641,1367027
03-06-1998,0.374,0.3771,0.35,0.3521,1096901
