date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
23-06-1997,0.0771,0.0771,0.074,0.075,87300,,,,-0.0013,0,0.0013,,,,,,0.080811977,0.093197173
24-06-1997,0.0753,0.0763,0.074,0.0755,62600,,,,0.0005,0.0005,0,,,,,,0.080469269,0.093021081
25-06-1997,0.0763,0.0763,0.0745,0.0755,175500,,,,0,0,0,,,,,,0.080148671,0.092846742
26-06-1997,0.0761,0.0761,0.0753,0.0755,265800,,,,0,0,0,0.000936667,0.001683333,0.556435644,35.75063613,0.077896667,0.079848757,0.092674138
27-06-1997,0.0758,0.0758,0.074,0.0745,99000,,,,-0.001,0,0.001,0.000936667,0.001716667,0.545631068,35.30150754,0.077116667,0.079503676,0.092493301
30-06-1997,0.0755,0.08,0.074,0.0771,228900,,,,0.0026,0.0026,0,0.001023333,0.001336667,0.765586035,43.36158192,0.076803333,0.0793486,0.092340134
01-07-1997,0.0771,0.0771,0.0755,0.0758,107700,,,,-0.0013,0,0.0013,0.001023333,0.001343333,0.7617866,43.23943662,0.076483333,0.079119658,0.092175555
02-07-1997,0.0758,0.0796,0.0755,0.0794,323297,,,,0.0036,0.0036,0,0.001143333,0.001223333,0.934604905,48.30985915,0.076403333,0.079137745,0.092048435
03-07-1997,0.08,0.0959,0.0797,0.0956,1048650,,,,0.0162,0.0162,0,0.001683333,0.000876667,1.920152091,65.75520833,0.07721,0.080199826,0.092083774
07-07-1997,0.0917,0.1011,0.0917,0.1,671101,,,,0.0044,0.0044,0,0.00183,0.000823333,2.222672065,68.96984925,0.078216667,0.081477256,0.092162543
08-07-1997,0.1021,0.1167,0.1021,0.1151,1293101,,,,0.0151,0.0151,0,0.00216,0.000823333,2.623481781,72.40223464,0.079553333,0.083646465,0.092390776
09-07-1997,0.1151,0.1192,0.1135,0.1161,688204,,,,0.001,0.001,0,0.002053333,0.000823333,2.493927126,71.37891078,0.080783333,0.085740242,0.092626689
10-07-1997,0.1167,0.1287,0.1167,0.1281,754301,,,,0.012,0.012,0,0.002453333,0.000736667,3.330316742,76.90700104,0.0825,0.088473129,0.092979657
11-07-1997,0.1261,0.1261,0.1104,0.1146,877601,,,,-0.0135,0,0.0135,0.002453333,0.001143333,2.145772595,68.21130677,0.08381,0.090158734,0.093194785
14-07-1997,0.1162,0.1167,0.1058,0.1068,383880,,,,-0.0078,0,0.0078,0.002453333,0.001393333,1.76076555,63.77816291,0.08487,0.091232364,0.09333016
15-07-1997,0.1068,0.124,0.1068,0.1219,772318,,,,0.0151,0.0151,0,0.00294,0.001393333,2.110047847,67.84615385,0.086416667,0.093210921,0.093614437
16-07-1997,0.1225,0.1248,0.1151,0.1167,252108,,,,-0.0052,0,0.0052,0.00294,0.001516667,1.938461538,65.96858639,0.08784,0.094726346,0.093844144
17-07-1997,0.1171,0.1171,0.1078,0.1109,263981,,,,-0.0058,0,0.0058,0.00294,0.001603333,1.833679834,64.71019809,0.089176667,0.095769807,0.094013854
18-07-1997,0.1094,0.111,0.1078,0.1078,65000,,,,-0.0031,0,0.0031,0.00273,0.001706667,1.599609375,61.53268219,0.0902,0.096545949,0.09415103
21-07-1997,0.1089,0.1099,0.1073,0.1091,47900,,,,0.0013,0.0013,0,0.002583333,0.001706667,1.513671875,60.21756022,0.091076667,0.097355888,0.094299776
22-07-1997,0.1084,0.1094,0.1031,0.1068,130361,,,,-0.0023,0,0.0023,0.00253,0.001783333,1.418691589,58.6553323,0.091823333,0.097965185,0.094424156
23-07-1997,0.1094,0.1167,0.1089,0.1146,271600,,,,0.0078,0.0078,0,0.00279,0.00161,1.732919255,63.40909091,0.093003333,0.099038399,0.094624911
24-07-1997,0.1151,0.1156,0.111,0.113,101400,,,,-0.0016,0,0.0016,0.00279,0.001593333,1.751046025,63.65019011,0.0942,0.099939147,0.094807747
25-07-1997,0.111,0.1126,0.111,0.1115,51723,0.088646,,,-0.0015,0,0.0015,0.002686667,0.001643333,1.634888438,62.04772902,0.095243333,0.100685009,0.094973839
28-07-1997,0.1114,0.1197,0.1109,0.1161,214408,0.08901,,,0.0046,0.0046,0,0.00284,0.00161,1.763975155,63.82022472,0.096473333,0.101679524,0.09518405
29-07-1997,0.1183,0.1251,0.1167,0.124,401362,0.08976,,,0.0079,0.0079,0,0.003103333,0.00159,1.951781971,66.12215909,0.097986667,0.103119555,0.095470776
30-07-1997,0.125,0.1253,0.1214,0.1224,209800,0.0905,,,-0.0016,0,0.0016,0.003103333,0.001533333,2.023913043,66.930266,0.099556667,0.104363455,0.095738728
